,date,open,high,low,close,volume
193,Apr 22 2015,2098.27,2109.98,2091.05,2107.96,505662373
194,Apr 23 2015,2107.21,2120.49,2103.19,2112.93,566843506
195,Apr 24 2015,2112.80,2120.92,2112.80,2117.69,555376586
196,Apr 27 2015,2119.29,2125.92,2107.04,2108.92,590999229
197,Apr 28 2015,2108.35,2116.09,2094.89,2114.76,549650994
198,Apr 29 2015,2112.49,2113.65,2097.41,2106.85,550784916
199,May 1 2015,2087.38,2108.41,2087.38,2108.29,509568789
200,May 4 2015,2110.23,2120.95,2110.23,2114.49,458688406
201,May 5 2015,2112.63,2115.24,2088.46,2089.46,532113899
202,May 6 2015,2091.26,2098.42,2067.93,2080.15,552153155
203,May 7 2015,2079.96,2092.90,2074.99,2088.00,523758356
204,May 8 2015,2092.13,2117.66,2092.13,2116.10,524517688
205,May 11 2015,2115.56,2117.69,2104.58,2105.33,467022504
206,May 12 2015,2102.87,2105.06,2085.57,2099.12,468682965
207,May 13 2015,2099.62,2110.19,2096.04,2098.48,473510272
208,May 14 2015,2100.43,2121.45,2100.43,2121.10,477949241
209,May 15 2015,2122.07,2123.89,2116.79,2122.73,609123759
210,May 18 2015,2121.30,2131.78,2120.01,2129.20,444239990
211,May 19 2015,2129.45,2133.02,2124.50,2127.83,493349176
212,May 20 2015,2127.79,2134.72,2122.59,2125.85,477723201
213,May 21 2015,2125.55,2134.28,2122.95,2130.82,468557139
214,May 22 2015,2130.36,2132.15,2126.06,2126.06,423419513
215,May 26 2015,2125.34,2125.34,2099.18,2104.20,557833108
216,May 27 2015,2105.13,2126.22,2105.13,2123.48,511248450
217,May 28 2015,2122.27,2122.27,2112.86,2120.79,434135669
218,Jun 1 2015,2108.64,2119.15,2102.54,2111.73,488083175
219,Jun 2 2015,2110.41,2117.59,2099.14,2109.60,471166195
220,Jun 3 2015,2110.64,2121.92,2109.61,2114.07,464527279
221,Jun 4 2015,2112.35,2112.89,2093.23,2095.84,521557720
222,Jun 5 2015,2095.09,2100.99,2085.67,2092.83,559311850
223,Jun 8 2015,2092.34,2093.01,2079.11,2079.28,488323296
224,Jun 9 2015,2079.07,2085.62,2072.14,2080.15,488823113
225,Jun 10 2015,2081.12,2108.50,2081.12,2105.20,507555252
226,Jun 11 2015,2106.24,2115.02,2106.24,2108.86,529774046
227,Jun 12 2015,2107.43,2107.43,2091.33,2094.11,449503626
228,Jun 15 2015,2091.34,2091.34,2072.49,2084.43,504787125
229,Jun 16 2015,2084.26,2097.40,2082.10,2096.29,410710293
230,Jun 17 2015,2097.40,2106.79,2088.86,2100.44,480805890
231,Jun 18 2015,2101.58,2126.65,2101.58,2121.24,544428661
232,Jun 19 2015,2121.03,2121.64,2109.38,2109.99,1255422639
233,Jun 22 2015,2112.50,2129.87,2112.50,2122.85,468228023
234,Jun 23 2015,2123.16,2128.03,2119.89,2124.20,453115170
235,Jun 24 2015,2123.33,2125.10,2108.58,2108.58,534019481
236,Jun 25 2015,2109.96,2116.04,2101.78,2102.31,494346810
237,Jun 26 2015,2102.62,2108.92,2095.38,2101.49,927539503
238,Jun 29 2015,2098.63,2098.63,2056.64,2057.64,586955148
